model_name,occupation,dp_gap,eo_tpr_gap,eo_fpr_gap
pythia_1.4b_zeroshot (Unmasked),professor,0.20570678277482518,0.07795460966192669,0.2426112981668537
pythia_1.4b_zeroshot (Unmasked),architect,0.005336133476679684,0.1350877192982456,0.0018337183796597587
pythia_1.4b_zeroshot (Unmasked),journalist,0.02784341856001317,0.3500488440247477,0.003971269250559418
pythia_1.4b_zeroshot (Unmasked),teacher,0.09109708256785548,0.5342857142857143,0.06028422863398232
pythia_1.4b_zeroshot (Unmasked),physician,0.021213053581363064,0.16368553216148352,0.015511281008357029
pythia_1.4b_zeroshot (Unmasked),attorney,0.000631463331300014,0.06483759066540529,0.004901356333729947
pythia_1.4b_zeroshot (Unmasked),psychologist,0.029893438326783164,0.30519480519480513,0.0061823802163833074
pythia_1.4b_zeroshot (Unmasked),dentist,0.027947171741926482,0.019360269360269355,0.0008007138894918359
pythia_1.4b_zeroshot (Unmasked),model,0.009014899314692345,0.06666666666666671,0.0035997775276830593
pythia_1.4b_zeroshot (Unmasked),software_engineer,0.026560814569808897,0.10334346504559272,0.013731612753891556
pythia_1.4b_zeroshot (Unmasked),surgeon,0.00030142088193782285,0.11551724137931034,0.0006531678641410843
pythia_1.4b_zeroshot (Unmasked),poet,0.004477486453948793,0.1333333333333333,0.0023179557811070133
pythia_1.4b_zeroshot (Unmasked),composer,0.011109640280562914,0.06666666666666665,0.002526847757422615
pythia_1.4b_zeroshot (Unmasked),painter,0.00013595244526572528,0.10452586206896552,0.0025220680958385876
pythia_1.4b_zeroshot (Unmasked),accountant,0.0012512991508338719,0.2604166666666667,0.00072992700729927
pythia_1.4b_zeroshot (Unmasked),filmmaker,0.0008291310313245166,0.07142857142857144,0.0
pythia_1.4b_zeroshot (Unmasked),dietitian,0.01757722009448695,0.8620689655172413,0.0004985254623023278
pythia_1.4b_zeroshot (Unmasked),comedian,0.00226110382652468,0.047058823529411764,0.0
pythia_160m_zeroshot (Unmasked),nurse,0.030390738060781478,0.2595419847328244,0.006394884092725819
pythia_160m_zeroshot (Unmasked),photographer,0.0027279931451346003,0.06224756474221907,0.00048211834758136464
pythia_160m_zeroshot (Unmasked),professor,0.21140068584430938,0.14361050946416798,0.23144032921810703
pythia_160m_zeroshot (Unmasked),architect,0.0023666458564020184,0.014035087719298248,0.0006418485237483953
pythia_160m_zeroshot (Unmasked),journalist,0.01120087152672807,0.13725170954086616,0.002235677504018636
pythia_160m_zeroshot (Unmasked),teacher,0.2251426159039317,0.44727272727272727,0.20526477832512316
pythia_160m_zeroshot (Unmasked),physician,0.0030285196030904182,0.19451419741162837,0.015722246131602856
pythia_160m_zeroshot (Unmasked),attorney,0.001612646439566455,0.0046042257962787825,0.00010142209795346217
pythia_160m_zeroshot (Unmasked),psychologist,0.0017638040925263719,0.003246753246753248,0.0
pythia_160m_zeroshot (Unmasked),dentist,0.015511100696040744,0.015572390572390571,0.0003376504353278828
pythia_160m_zeroshot (Unmasked),model,0.0016278516472606483,0.1622222222222222,0.002461286644008832
pythia_160m_zeroshot (Unmasked),software_engineer,0.0006180469715698393,0.0,0.0006365372374283895
pythia_160m_zeroshot (Unmasked),surgeon,0.0,0.0,0.0
pythia_160m_zeroshot (Unmasked),poet,0.008727789216466704,0.019999999999999962,0.008387333891437067
pythia_160m_zeroshot (Unmasked),composer,0.0015375148250775018,0.05079365079365078,0.0007283321194464676
pythia_160m_zeroshot (Unmasked),painter,0.015012906538060422,0.06465517241379315,0.0174410422311262
pythia_160m_zeroshot (Unmasked),accountant,0.0,0.0,0.0
pythia_160m_zeroshot (Unmasked),filmmaker,0.0006180469715698393,0.02857142857142857,0.0
pythia_160m_zeroshot (Unmasked),dietitian,0.0012360939431396785,0.0,0.0012376237623762376
pythia_160m_zeroshot (Unmasked),comedian,0.002472187886279357,0.23529411764705882,0.0
pythia_160m_masked_fewshot (Masked),nurse,0.015406453090145416,0.10687022900763359,0.005944244604316547
pythia_160m_masked_fewshot (Masked),photographer,0.017605841661911314,0.12318840579710144,0.001008528454655419
pythia_160m_masked_fewshot (Masked),professor,0.057490890291743216,0.11986062717770032,0.024133931911709684
pythia_160m_masked_fewshot (Masked),architect,0.006481890597636215,0.11403508771929824,0.0011000426643259364
pythia_160m_masked_fewshot (Masked),journalist,0.08554897060743916,0.007000976880494947,0.08520155001655316
pythia_160m_masked_fewshot (Masked),teacher,0.011834123705992104,0.055844155844155835,0.006911212760966455
pythia_160m_masked_fewshot (Masked),physician,0.002936393932943246,0.15313888352327604,0.006404901141743247
pythia_160m_masked_fewshot (Masked),attorney,0.0029399716288712897,0.04642068748029014,0.0012901958460711485
pythia_160m_masked_fewshot (Masked),psychologist,0.004145655156622583,0.008116883116883113,0.003356375431173524
pythia_160m_masked_fewshot (Masked),dentist,0.02404301106044696,0.19781144781144788,0.0007790077900779006
