profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
model,ranked,0.0,6.008063852787018,6.008063852787018,0.0,13.0,0.0,13.0,0.0,0.4621587579066937
model,fashion,2.3955118656158447,3.2409024834632874,0.8453906178474426,5.0,7.0,5.0,7.0,0.4791023731231689,0.4629860690661839
model,born,7.238292008638381,7.666430026292801,0.42813801765441983,14.0,14.0,14.0,14.0,0.5170208577598844,0.5476021447352001
model,runway,1.5727913975715635,1.840377241373062,0.2675858438014984,3.0,4.0,3.0,4.0,0.5242637991905212,0.4600943103432655
model,playboy,2.5162616670131683,2.5297996401786804,0.013537973165512085,3.0,3.0,3.0,3.0,0.8387538890043894,0.8432665467262268
model,modelling,4.45758855342865,4.454020619392395,-0.003567934036254883,5.0,5.0,3.0,3.0,0.8915177106857299,0.890804123878479
model,photoshoots,1.3620625603944063,0.0,-1.3620625603944063,2.0,0.0,2.0,0.0,0.6810312801972032,0.0
model,gallery,5.315753817558289,2.6739456057548523,-2.6418082118034363,10.0,7.0,10.0,7.0,0.5315753817558289,0.3819922293935503
model,modeling,14.241190314292908,11.494307577610016,-2.746882736682892,9.0,9.0,9.0,9.0,1.5823544793658786,1.2771452864011128
model,model,17.130661696195602,12.0630045235157,-5.067657172679903,17.0,15.0,16.0,15.0,1.007685982129153,0.8042003015677134
model,freeones,15.013363793492315,7.537154842168094,-7.476208951324222,16.0,15.0,13.0,13.0,0.9383352370932698,0.5024769894778729
nurse,nurse,129.8941374719143,152.73244974017143,22.83831226825714,113.0,117.0,99.0,100.0,1.1495056413443745,1.3054055533347986
nurse,especially,0.0,15.52322080731392,15.52322080731392,0.0,42.0,0.0,42.0,0.0,0.3696004954122361
nurse,hospital,0.0,8.964577496051788,8.964577496051788,0.0,17.0,0.0,17.0,0.0,0.5273280880030464
nurse,hospitals,0.0,7.27624985575676,7.27624985575676,0.0,18.0,0.0,18.0,0.0,0.4042361030975978
nurse,nursing,55.53085079789162,60.72330224514008,5.192451447248466,51.0,57.0,36.0,37.0,1.088840211723365,1.0653210920200014
nurse,medical,0.0,5.1615230441093445,5.1615230441093445,0.0,16.0,0.0,16.0,0.0,0.322595190256834
nurse,nurses,4.64687043428421,4.724261045455933,0.07739061117172241,4.0,5.0,4.0,5.0,1.1617176085710526,0.9448522090911864
nurse,experience,2.7348682582378387,0.0,-2.7348682582378387,6.0,0.0,5.0,0.0,0.4558113763729731,0.0
nurse,degree,3.287533700466156,0.0,-3.287533700466156,5.0,0.0,4.0,0.0,0.6575067400932312,0.0
nurse,medicine,4.611679822206497,0.0,-4.611679822206497,11.0,0.0,11.0,0.0,0.4192436202005906,0.0
nurse,honors,11.676700562238691,5.231088697910309,-6.445611864328383,30.0,18.0,30.0,18.0,0.3892233520746231,0.2906160387727949
nurse,experiences,15.154829442501068,5.879282370209694,-9.275547072291374,38.0,18.0,38.0,18.0,0.3988113011184491,0.326626798344983
nurse,practitioner,26.51136979460716,11.17912095785141,-15.332248836755749,60.0,32.0,60.0,32.0,0.4418561632434527,0.3493475299328565
nurse,graduated,19.1113560795784,0.0,-19.1113560795784,42.0,0.0,42.0,0.0,0.4550322876090095,0.0
painter,painting,21.04838263988495,24.53812003135681,3.489737391471863,24.0,28.0,18.0,19.0,0.8770159433285395,0.8763614296913147
painter,works,0.0,2.7500089704990387,2.7500089704990387,0.0,7.0,0.0,6.0,0.0,0.3928584243570055
painter,drawing,0.0,2.342102497816086,2.342102497816086,0.0,5.0,0.0,5.0,0.0,0.4684204995632172
painter,work,2.5026035010814667,4.44843989610672,1.9458363950252533,7.0,10.0,6.0,10.0,0.3575147858687809,0.444843989610672
painter,studio,2.426708787679672,3.836668699979782,1.4099599123001103,4.0,6.0,4.0,6.0,0.6066771969199181,0.6394447833299637
painter,art,8.011643022298813,8.133590430021286,0.12194740772247314,13.0,15.0,13.0,14.0,0.616280232484524,0.5422393620014191
painter,paintings,25.648262172937393,25.65233063697815,0.004068464040756226,28.0,24.0,21.0,19.0,0.9160093633191926,1.0688471098740897
painter,artist,3.5839715600013733,2.530600756406784,-1.0533708035945892,5.0,5.0,5.0,5.0,0.7167943120002747,0.5061201512813568
painter,paint,4.116235852241516,2.585344612598419,-1.530891239643097,4.0,4.0,4.0,4.0,1.029058963060379,0.6463361531496048
painter,oil,2.617877572774887,0.0,-2.617877572774887,5.0,0.0,5.0,0.0,0.5235755145549774,0.0
painter,exhibited,2.8298088014125824,0.0,-2.8298088014125824,6.0,0.0,6.0,0.0,0.4716348002354304,0.0
painter,gallery,8.183565706014633,4.7445696741342545,-3.4389960318803787,13.0,11.0,9.0,8.0,0.629505054308818,0.4313245158303868
photographer,work,0.0,15.940257489681244,15.940257489681244,0.0,35.0,0.0,31.0,0.0,0.4554359282766069
photographer,camera,0.0,12.491553157567978,12.491553157567978,0.0,17.0,0.0,15.0,0.0,0.7347972445628222
photographer,photo,14.315131783485413,15.619777798652647,1.3046460151672346,13.0,15.0,12.0,14.0,1.1011639833450315,1.0413185199101769
photographer,images,10.273459792137146,10.27024182677269,-0.0032179653644561768,18.0,17.0,17.0,15.0,0.5707477662298415,0.6041318721630994
photographer,photographing,8.41849011182785,8.373115189373493,-0.04537492245435715,5.0,5.0,5.0,5.0,1.68369802236557,1.674623037874699
